burned;dim;empty;finalTime;forest;simulations
7147;100;0.0;100;2776;"1_execution_dim_100_empty_0.0_"
7278;100;0.0;100;2643;"2_execution_dim_100_empty_0.0_"
5534;100;0.0;100;4371;"3_execution_dim_100_empty_0.0_"
9049;100;0.0;100;894;"4_execution_dim_100_empty_0.0_"
8466;100;0.0;100;1459;"5_execution_dim_100_empty_0.0_"
8794;100;0.0;100;1147;"6_execution_dim_100_empty_0.0_"
6804;100;0.0;100;3109;"7_execution_dim_100_empty_0.0_"
8719;100;0.0;100;1228;"8_execution_dim_100_empty_0.0_"
7857;100;0.0;100;2062;"9_execution_dim_100_empty_0.0_"
8095;100;0.0;100;1820;"10_execution_dim_100_empty_0.0_"
9018;100;0.0;100;931;"11_execution_dim_100_empty_0.0_"
8242;100;0.0;100;1687;"12_execution_dim_100_empty_0.0_"
6591;100;0.0;100;3324;"13_execution_dim_100_empty_0.0_"
8169;100;0.0;100;1758;"14_execution_dim_100_empty_0.0_"
7701;100;0.0;100;2226;"15_execution_dim_100_empty_0.0_"
8054;100;0.0;100;1875;"16_execution_dim_100_empty_0.0_"
6843;100;0.0;100;3060;"17_execution_dim_100_empty_0.0_"
6253;100;0.0;100;3658;"18_execution_dim_100_empty_0.0_"
9051;100;0.0;100;904;"19_execution_dim_100_empty_0.0_"
9160;100;0.0;100;785;"20_execution_dim_100_empty_0.0_"
8313;100;0.0;100;1618;"21_execution_dim_100_empty_0.0_"
8424;100;0.0;100;1513;"22_execution_dim_100_empty_0.0_"
7974;100;0.0;100;1939;"23_execution_dim_100_empty_0.0_"
7134;100;0.0;100;2779;"24_execution_dim_100_empty_0.0_"
9285;100;0.0;100;666;"25_execution_dim_100_empty_0.0_"
7045;100;0.0;100;2866;"26_execution_dim_100_empty_0.0_"
7956;100;0.0;100;1969;"27_execution_dim_100_empty_0.0_"
9136;100;0.0;100;821;"28_execution_dim_100_empty_0.0_"
9622;100;0.0;100;351;"29_execution_dim_100_empty_0.0_"
9471;100;0.0;100;496;"30_execution_dim_100_empty_0.0_"
8247;100;0.0;100;1672;"31_execution_dim_100_empty_0.0_"
8909;100;0.0;100;1026;"32_execution_dim_100_empty_0.0_"
8611;100;0.0;100;1316;"33_execution_dim_100_empty_0.0_"
7252;100;0.0;100;2661;"34_execution_dim_100_empty_0.0_"
9091;100;0.0;100;864;"35_execution_dim_100_empty_0.0_"
7194;100;0.0;100;2719;"36_execution_dim_100_empty_0.0_"
9742;100;0.0;100;227;"37_execution_dim_100_empty_0.0_"
9147;100;0.0;100;796;"38_execution_dim_100_empty_0.0_"
8851;100;0.0;100;1096;"39_execution_dim_100_empty_0.0_"
6754;100;0.0;100;3163;"40_execution_dim_100_empty_0.0_"
8218;100;0.0;100;1703;"41_execution_dim_100_empty_0.0_"
7543;100;0.0;100;2360;"42_execution_dim_100_empty_0.0_"
7244;100;0.0;100;2673;"43_execution_dim_100_empty_0.0_"
9996;100;0.0;100;1;"44_execution_dim_100_empty_0.0_"
9837;100;0.0;100;142;"45_execution_dim_100_empty_0.0_"
8944;100;0.0;100;997;"46_execution_dim_100_empty_0.0_"
8151;100;0.0;100;1764;"47_execution_dim_100_empty_0.0_"
7332;100;0.0;100;2577;"48_execution_dim_100_empty_0.0_"
7930;100;0.0;100;1987;"49_execution_dim_100_empty_0.0_"
7375;100;0.0;100;2536;"50_execution_dim_100_empty_0.0_"
9043;100;0.02;100;712;"1_execution_dim_100_empty_0.02_"
8178;100;0.02;100;1532;"2_execution_dim_100_empty_0.02_"
6098;100;0.02;100;3628;"3_execution_dim_100_empty_0.02_"
8763;100;0.02;100;937;"4_execution_dim_100_empty_0.02_"
8461;100;0.02;100;1290;"5_execution_dim_100_empty_0.02_"
7561;100;0.02;100;2132;"6_execution_dim_100_empty_0.02_"
7334;100;0.02;100;2357;"7_execution_dim_100_empty_0.02_"
8933;100;0.02;100;816;"8_execution_dim_100_empty_0.02_"
9663;100;0.02;100;117;"9_execution_dim_100_empty_0.02_"
9088;100;0.02;100;666;"10_execution_dim_100_empty_0.02_"
8771;100;0.02;100;971;"11_execution_dim_100_empty_0.02_"
7537;100;0.02;100;2159;"12_execution_dim_100_empty_0.02_"
9742;100;0.02;100;63;"13_execution_dim_100_empty_0.02_"
8396;100;0.02;100;1342;"14_execution_dim_100_empty_0.02_"
7876;100;0.02;100;1820;"15_execution_dim_100_empty_0.02_"
8183;100;0.02;100;1518;"16_execution_dim_100_empty_0.02_"
9380;100;0.02;100;372;"17_execution_dim_100_empty_0.02_"
7526;100;0.02;100;2181;"18_execution_dim_100_empty_0.02_"
8834;100;0.02;100;922;"19_execution_dim_100_empty_0.02_"
6436;100;0.02;100;3242;"20_execution_dim_100_empty_0.02_"
9579;100;0.02;100;179;"21_execution_dim_100_empty_0.02_"
8069;100;0.02;100;1664;"22_execution_dim_100_empty_0.02_"
7630;100;0.02;100;2086;"23_execution_dim_100_empty_0.02_"
8937;100;0.02;100;821;"24_execution_dim_100_empty_0.02_"
8901;100;0.02;100;852;"25_execution_dim_100_empty_0.02_"
8504;100;0.02;100;1210;"26_execution_dim_100_empty_0.02_"
7205;100;0.02;100;2540;"27_execution_dim_100_empty_0.02_"
8365;100;0.02;100;1348;"28_execution_dim_100_empty_0.02_"
9501;100;0.02;100;258;"29_execution_dim_100_empty_0.02_"
8122;100;0.02;100;1614;"30_execution_dim_100_empty_0.02_"
8213;100;0.02;100;1506;"31_execution_dim_100_empty_0.02_"
9501;100;0.02;100;254;"32_execution_dim_100_empty_0.02_"
7647;100;0.02;100;2074;"33_execution_dim_100_empty_0.02_"
8713;100;0.02;100;1003;"34_execution_dim_100_empty_0.02_"
7156;100;0.02;100;2568;"35_execution_dim_100_empty_0.02_"
8821;100;0.02;100;931;"36_execution_dim_100_empty_0.02_"
8508;100;0.02;100;1237;"37_execution_dim_100_empty_0.02_"
7895;100;0.02;100;1829;"38_execution_dim_100_empty_0.02_"
8859;100;0.02;100;891;"39_execution_dim_100_empty_0.02_"
8836;100;0.02;100;900;"40_execution_dim_100_empty_0.02_"
7582;100;0.02;100;2139;"41_execution_dim_100_empty_0.02_"
9533;100;0.02;100;250;"42_execution_dim_100_empty_0.02_"
9483;100;0.02;100;307;"43_execution_dim_100_empty_0.02_"
8831;100;0.02;100;897;"44_execution_dim_100_empty_0.02_"
9479;100;0.02;100;277;"45_execution_dim_100_empty_0.02_"
7440;100;0.02;100;2279;"46_execution_dim_100_empty_0.02_"
7100;100;0.02;100;2622;"47_execution_dim_100_empty_0.02_"
7629;100;0.02;100;2065;"48_execution_dim_100_empty_0.02_"
9787;100;0.02;100;22;"49_execution_dim_100_empty_0.02_"
8268;100;0.02;100;1456;"50_execution_dim_100_empty_0.02_"
7200;100;0.04;100;2301;"1_execution_dim_100_empty_0.04_"
9205;100;0.04;100;352;"2_execution_dim_100_empty_0.04_"
6735;100;0.04;100;2793;"3_execution_dim_100_empty_0.04_"
8625;100;0.04;100;863;"4_execution_dim_100_empty_0.04_"
6571;100;0.04;100;2903;"5_execution_dim_100_empty_0.04_"
7334;100;0.04;100;2186;"6_execution_dim_100_empty_0.04_"
9332;100;0.04;100;225;"7_execution_dim_100_empty_0.04_"
6155;100;0.04;100;3365;"8_execution_dim_100_empty_0.04_"
9235;100;0.04;100;295;"9_execution_dim_100_empty_0.04_"
8551;100;0.04;100;1007;"10_execution_dim_100_empty_0.04_"
8703;100;0.04;100;815;"11_execution_dim_100_empty_0.04_"
8139;100;0.04;100;1440;"12_execution_dim_100_empty_0.04_"
7005;100;0.04;100;2479;"13_execution_dim_100_empty_0.04_"
7861;100;0.04;100;1705;"14_execution_dim_100_empty_0.04_"
7634;100;0.04;100;1890;"15_execution_dim_100_empty_0.04_"
7825;100;0.04;100;1693;"16_execution_dim_100_empty_0.04_"
7698;100;0.04;100;1834;"17_execution_dim_100_empty_0.04_"
7817;100;0.04;100;1740;"18_execution_dim_100_empty_0.04_"
7643;100;0.04;100;1900;"19_execution_dim_100_empty_0.04_"
7150;100;0.04;100;2367;"20_execution_dim_100_empty_0.04_"
7516;100;0.04;100;2002;"21_execution_dim_100_empty_0.04_"
9048;100;0.04;100;514;"22_execution_dim_100_empty_0.04_"
6622;100;0.04;100;2865;"23_execution_dim_100_empty_0.04_"
8249;100;0.04;100;1277;"24_execution_dim_100_empty_0.04_"
7433;100;0.04;100;2077;"25_execution_dim_100_empty_0.04_"
8017;100;0.04;100;1496;"26_execution_dim_100_empty_0.04_"
6655;100;0.04;100;2895;"27_execution_dim_100_empty_0.04_"
9577;100;0.04;100;28;"28_execution_dim_100_empty_0.04_"
8196;100;0.04;100;1329;"29_execution_dim_100_empty_0.04_"
8519;100;0.04;100;1030;"30_execution_dim_100_empty_0.04_"
5207;100;0.04;100;4306;"31_execution_dim_100_empty_0.04_"
5695;100;0.04;100;3841;"32_execution_dim_100_empty_0.04_"
8042;100;0.04;100;1471;"33_execution_dim_100_empty_0.04_"
5115;100;0.04;100;4373;"34_execution_dim_100_empty_0.04_"
7083;100;0.04;100;2449;"35_execution_dim_100_empty_0.04_"
8738;100;0.04;100;813;"36_execution_dim_100_empty_0.04_"
7622;100;0.04;100;1916;"37_execution_dim_100_empty_0.04_"
6865;100;0.04;100;2635;"38_execution_dim_100_empty_0.04_"
7136;100;0.04;100;2355;"39_execution_dim_100_empty_0.04_"
7520;100;0.04;100;1998;"40_execution_dim_100_empty_0.04_"
6377;100;0.04;100;3114;"41_execution_dim_100_empty_0.04_"
7903;100;0.04;100;1614;"42_execution_dim_100_empty_0.04_"
8201;100;0.04;100;1318;"43_execution_dim_100_empty_0.04_"
7147;100;0.04;100;2357;"44_execution_dim_100_empty_0.04_"
8715;100;0.04;100;846;"45_execution_dim_100_empty_0.04_"
7892;100;0.04;100;1640;"46_execution_dim_100_empty_0.04_"
9364;100;0.04;100;220;"47_execution_dim_100_empty_0.04_"
7586;100;0.04;100;1943;"48_execution_dim_100_empty_0.04_"
6841;100;0.04;100;2693;"49_execution_dim_100_empty_0.04_"
9342;100;0.04;100;206;"50_execution_dim_100_empty_0.04_"
6253;100;0.06;100;3069;"1_execution_dim_100_empty_0.06_"
7786;100;0.06;100;1544;"2_execution_dim_100_empty_0.06_"
8812;100;0.06;100;578;"3_execution_dim_100_empty_0.06_"
9370;100;0.06;100;10;"4_execution_dim_100_empty_0.06_"
8559;100;0.06;100;778;"5_execution_dim_100_empty_0.06_"
8066;100;0.06;100;1288;"6_execution_dim_100_empty_0.06_"
7096;100;0.06;100;2214;"7_execution_dim_100_empty_0.06_"
7883;100;0.06;100;1440;"8_execution_dim_100_empty_0.06_"
9231;100;0.06;100;117;"9_execution_dim_100_empty_0.06_"
7597;100;0.06;100;1712;"10_execution_dim_100_empty_0.06_"
8448;100;0.06;100;916;"11_execution_dim_100_empty_0.06_"
5333;100;0.06;100;3979;"12_execution_dim_100_empty_0.06_"
7260;100;0.06;100;2068;"13_execution_dim_100_empty_0.06_"
6800;100;0.06;100;2552;"14_execution_dim_100_empty_0.06_"
9047;100;0.06;100;328;"15_execution_dim_100_empty_0.06_"
7819;100;0.06;100;1474;"16_execution_dim_100_empty_0.06_"
6246;100;0.06;100;3050;"17_execution_dim_100_empty_0.06_"
8022;100;0.06;100;1322;"18_execution_dim_100_empty_0.06_"
9308;100;0.06;100;103;"19_execution_dim_100_empty_0.06_"
8069;100;0.06;100;1244;"20_execution_dim_100_empty_0.06_"
7519;100;0.06;100;1744;"21_execution_dim_100_empty_0.06_"
9000;100;0.06;100;349;"22_execution_dim_100_empty_0.06_"
8177;100;0.06;100;1169;"23_execution_dim_100_empty_0.06_"
9321;100;0.06;100;69;"24_execution_dim_100_empty_0.06_"
9385;100;0.06;100;7;"25_execution_dim_100_empty_0.06_"
7711;100;0.06;100;1600;"26_execution_dim_100_empty_0.06_"
9296;100;0.06;100;126;"27_execution_dim_100_empty_0.06_"
8123;100;0.06;100;1195;"28_execution_dim_100_empty_0.06_"
9200;100;0.06;100;208;"29_execution_dim_100_empty_0.06_"
9105;100;0.06;100;250;"30_execution_dim_100_empty_0.06_"
7869;100;0.06;100;1464;"31_execution_dim_100_empty_0.06_"
8129;100;0.06;100;1206;"32_execution_dim_100_empty_0.06_"
9200;100;0.06;100;202;"33_execution_dim_100_empty_0.06_"
7371;100;0.06;100;1959;"34_execution_dim_100_empty_0.06_"
9373;100;0.06;100;18;"35_execution_dim_100_empty_0.06_"
9044;100;0.06;100;364;"36_execution_dim_100_empty_0.06_"
6255;100;0.06;100;3050;"37_execution_dim_100_empty_0.06_"
7556;100;0.06;100;1772;"38_execution_dim_100_empty_0.06_"
7168;100;0.06;100;2150;"39_execution_dim_100_empty_0.06_"
7797;100;0.06;100;1499;"40_execution_dim_100_empty_0.06_"
6255;100;0.06;100;3079;"41_execution_dim_100_empty_0.06_"
8075;100;0.06;100;1285;"42_execution_dim_100_empty_0.06_"
9307;100;0.06;100;48;"43_execution_dim_100_empty_0.06_"
7506;100;0.06;100;1813;"44_execution_dim_100_empty_0.06_"
6970;100;0.06;100;2308;"45_execution_dim_100_empty_0.06_"
7897;100;0.06;100;1418;"46_execution_dim_100_empty_0.06_"
9174;100;0.06;100;217;"47_execution_dim_100_empty_0.06_"
8029;100;0.06;100;1337;"48_execution_dim_100_empty_0.06_"
7685;100;0.06;100;1622;"49_execution_dim_100_empty_0.06_"
9382;100;0.06;100;16;"50_execution_dim_100_empty_0.06_"
5147;100;0.08;100;3969;"1_execution_dim_100_empty_0.08_"
7193;100;0.08;100;1895;"2_execution_dim_100_empty_0.08_"
7439;100;0.08;100;1675;"3_execution_dim_100_empty_0.08_"
8902;100;0.08;100;241;"4_execution_dim_100_empty_0.08_"
7895;100;0.08;100;1201;"5_execution_dim_100_empty_0.08_"
7214;100;0.08;100;1906;"6_execution_dim_100_empty_0.08_"
7419;100;0.08;100;1665;"7_execution_dim_100_empty_0.08_"
7449;100;0.08;100;1655;"8_execution_dim_100_empty_0.08_"
6768;100;0.08;100;2301;"9_execution_dim_100_empty_0.08_"
6128;100;0.08;100;3020;"10_execution_dim_100_empty_0.08_"
6568;100;0.08;100;2519;"11_execution_dim_100_empty_0.08_"
9147;100;0.08;100;50;"12_execution_dim_100_empty_0.08_"
8018;100;0.08;100;1124;"13_execution_dim_100_empty_0.08_"
6822;100;0.08;100;2314;"14_execution_dim_100_empty_0.08_"
6668;100;0.08;100;2428;"15_execution_dim_100_empty_0.08_"
8482;100;0.08;100;683;"16_execution_dim_100_empty_0.08_"
7008;100;0.08;100;2123;"17_execution_dim_100_empty_0.08_"
8634;100;0.08;100;554;"18_execution_dim_100_empty_0.08_"
5935;100;0.08;100;3176;"19_execution_dim_100_empty_0.08_"
6847;100;0.08;100;2307;"20_execution_dim_100_empty_0.08_"
7997;100;0.08;100;1141;"21_execution_dim_100_empty_0.08_"
9042;100;0.08;100;159;"22_execution_dim_100_empty_0.08_"
9045;100;0.08;100;163;"23_execution_dim_100_empty_0.08_"
8585;100;0.08;100;544;"24_execution_dim_100_empty_0.08_"
5951;100;0.08;100;3181;"25_execution_dim_100_empty_0.08_"
6910;100;0.08;100;2243;"26_execution_dim_100_empty_0.08_"
6611;100;0.08;100;2469;"27_execution_dim_100_empty_0.08_"
7077;100;0.08;100;2020;"28_execution_dim_100_empty_0.08_"
7138;100;0.08;100;2012;"29_execution_dim_100_empty_0.08_"
8835;100;0.08;100;332;"30_execution_dim_100_empty_0.08_"
8076;100;0.08;100;1093;"31_execution_dim_100_empty_0.08_"
8344;100;0.08;100;818;"32_execution_dim_100_empty_0.08_"
9194;100;0.08;100;35;"33_execution_dim_100_empty_0.08_"
7133;100;0.08;100;2028;"34_execution_dim_100_empty_0.08_"
8368;100;0.08;100;849;"35_execution_dim_100_empty_0.08_"
8357;100;0.08;100;794;"36_execution_dim_100_empty_0.08_"
7639;100;0.08;100;1506;"37_execution_dim_100_empty_0.08_"
8515;100;0.08;100;636;"38_execution_dim_100_empty_0.08_"
8190;100;0.08;100;1009;"39_execution_dim_100_empty_0.08_"
8881;100;0.08;100;302;"40_execution_dim_100_empty_0.08_"
9020;100;0.08;100;155;"41_execution_dim_100_empty_0.08_"
7672;100;0.08;100;1499;"42_execution_dim_100_empty_0.08_"
7460;100;0.08;100;1654;"43_execution_dim_100_empty_0.08_"
7981;100;0.08;100;1164;"44_execution_dim_100_empty_0.08_"
7794;100;0.08;100;1353;"45_execution_dim_100_empty_0.08_"
5833;100;0.08;100;3306;"46_execution_dim_100_empty_0.08_"
8709;100;0.08;100;474;"47_execution_dim_100_empty_0.08_"
7546;100;0.08;100;1548;"48_execution_dim_100_empty_0.08_"
8729;100;0.08;100;456;"49_execution_dim_100_empty_0.08_"
7841;100;0.08;100;1268;"50_execution_dim_100_empty_0.08_"
7739;100;0.1;100;1181;"1_execution_dim_100_empty_0.1_"
7899;100;0.1;100;1092;"2_execution_dim_100_empty_0.1_"
7330;100;0.1;100;1601;"3_execution_dim_100_empty_0.1_"
7974;100;0.1;100;974;"4_execution_dim_100_empty_0.1_"
6720;100;0.1;100;2235;"5_execution_dim_100_empty_0.1_"
6066;100;0.1;100;2835;"6_execution_dim_100_empty_0.1_"
8441;100;0.1;100;505;"7_execution_dim_100_empty_0.1_"
8346;100;0.1;100;615;"8_execution_dim_100_empty_0.1_"
8468;100;0.1;100;495;"9_execution_dim_100_empty_0.1_"
8270;100;0.1;100;694;"10_execution_dim_100_empty_0.1_"
8774;100;0.1;100;217;"11_execution_dim_100_empty_0.1_"
5835;100;0.1;100;3101;"12_execution_dim_100_empty_0.1_"
7697;100;0.1;100;1201;"13_execution_dim_100_empty_0.1_"
7929;100;0.1;100;1020;"14_execution_dim_100_empty_0.1_"
7301;100;0.1;100;1622;"15_execution_dim_100_empty_0.1_"
5577;100;0.1;100;3295;"16_execution_dim_100_empty_0.1_"
7177;100;0.1;100;1728;"17_execution_dim_100_empty_0.1_"
6856;100;0.1;100;2016;"18_execution_dim_100_empty_0.1_"
8809;100;0.1;100;109;"19_execution_dim_100_empty_0.1_"
8002;100;0.1;100;930;"20_execution_dim_100_empty_0.1_"
7432;100;0.1;100;1517;"21_execution_dim_100_empty_0.1_"
6928;100;0.1;100;2025;"22_execution_dim_100_empty_0.1_"
7748;100;0.1;100;1164;"23_execution_dim_100_empty_0.1_"
6858;100;0.1;100;2045;"24_execution_dim_100_empty_0.1_"
6217;100;0.1;100;2718;"25_execution_dim_100_empty_0.1_"
8249;100;0.1;100;655;"26_execution_dim_100_empty_0.1_"
8904;100;0.1;100;71;"27_execution_dim_100_empty_0.1_"
7179;100;0.1;100;1792;"28_execution_dim_100_empty_0.1_"
8951;100;0.1;100;40;"29_execution_dim_100_empty_0.1_"
6108;100;0.1;100;2800;"30_execution_dim_100_empty_0.1_"
7937;100;0.1;100;1017;"31_execution_dim_100_empty_0.1_"
8725;100;0.1;100;256;"32_execution_dim_100_empty_0.1_"
6814;100;0.1;100;2079;"33_execution_dim_100_empty_0.1_"
8223;100;0.1;100;760;"34_execution_dim_100_empty_0.1_"
7887;100;0.1;100;1042;"35_execution_dim_100_empty_0.1_"
8235;100;0.1;100;730;"36_execution_dim_100_empty_0.1_"
8881;100;0.1;100;65;"37_execution_dim_100_empty_0.1_"
5363;100;0.1;100;3577;"38_execution_dim_100_empty_0.1_"
8340;100;0.1;100;647;"39_execution_dim_100_empty_0.1_"
6073;100;0.1;100;2838;"40_execution_dim_100_empty_0.1_"
8550;100;0.1;100;447;"41_execution_dim_100_empty_0.1_"
7831;100;0.1;100;1153;"42_execution_dim_100_empty_0.1_"
7270;100;0.1;100;1686;"43_execution_dim_100_empty_0.1_"
6050;100;0.1;100;2942;"44_execution_dim_100_empty_0.1_"
6572;100;0.1;100;2309;"45_execution_dim_100_empty_0.1_"
6672;100;0.1;100;2287;"46_execution_dim_100_empty_0.1_"
8869;100;0.1;100;63;"47_execution_dim_100_empty_0.1_"
5807;100;0.1;100;3091;"48_execution_dim_100_empty_0.1_"
8634;100;0.1;100;352;"49_execution_dim_100_empty_0.1_"
8171;100;0.1;100;769;"50_execution_dim_100_empty_0.1_"
8276;100;0.12;100;460;"1_execution_dim_100_empty_0.12_"
8435;100;0.12;100;346;"2_execution_dim_100_empty_0.12_"
7985;100;0.12;100;768;"3_execution_dim_100_empty_0.12_"
5520;100;0.12;100;3180;"4_execution_dim_100_empty_0.12_"
8249;100;0.12;100;587;"5_execution_dim_100_empty_0.12_"
8467;100;0.12;100;332;"6_execution_dim_100_empty_0.12_"
7473;100;0.12;100;1205;"7_execution_dim_100_empty_0.12_"
7586;100;0.12;100;1157;"8_execution_dim_100_empty_0.12_"
7740;100;0.12;100;933;"9_execution_dim_100_empty_0.12_"
8617;100;0.12;100;179;"10_execution_dim_100_empty_0.12_"
7588;100;0.12;100;1196;"11_execution_dim_100_empty_0.12_"
8775;100;0.12;100;3;"12_execution_dim_100_empty_0.12_"
7639;100;0.12;100;1038;"13_execution_dim_100_empty_0.12_"
7534;100;0.12;100;1211;"14_execution_dim_100_empty_0.12_"
8623;100;0.12;100;173;"15_execution_dim_100_empty_0.12_"
4958;100;0.12;100;3724;"16_execution_dim_100_empty_0.12_"
7660;100;0.12;100;1036;"17_execution_dim_100_empty_0.12_"
7830;100;0.12;100;867;"18_execution_dim_100_empty_0.12_"
8391;100;0.12;100;343;"19_execution_dim_100_empty_0.12_"
7864;100;0.12;100;893;"20_execution_dim_100_empty_0.12_"
6463;100;0.12;100;2274;"21_execution_dim_100_empty_0.12_"
8419;100;0.12;100;297;"22_execution_dim_100_empty_0.12_"
6157;100;0.12;100;2591;"23_execution_dim_100_empty_0.12_"
7685;100;0.12;100;1082;"24_execution_dim_100_empty_0.12_"
8016;100;0.12;100;679;"25_execution_dim_100_empty_0.12_"
7479;100;0.12;100;1278;"26_execution_dim_100_empty_0.12_"
8039;100;0.12;100;690;"27_execution_dim_100_empty_0.12_"
6694;100;0.12;100;1982;"28_execution_dim_100_empty_0.12_"
8438;100;0.12;100;277;"29_execution_dim_100_empty_0.12_"
5261;100;0.12;100;3446;"30_execution_dim_100_empty_0.12_"
6509;100;0.12;100;2239;"31_execution_dim_100_empty_0.12_"
7525;100;0.12;100;1176;"32_execution_dim_100_empty_0.12_"
7700;100;0.12;100;1069;"33_execution_dim_100_empty_0.12_"
8212;100;0.12;100;591;"34_execution_dim_100_empty_0.12_"
7651;100;0.12;100;1087;"35_execution_dim_100_empty_0.12_"
6681;100;0.12;100;2082;"36_execution_dim_100_empty_0.12_"
5529;100;0.12;100;3192;"37_execution_dim_100_empty_0.12_"
6077;100;0.12;100;2646;"38_execution_dim_100_empty_0.12_"
8507;100;0.12;100;289;"39_execution_dim_100_empty_0.12_"
6798;100;0.12;100;1899;"40_execution_dim_100_empty_0.12_"
8122;100;0.12;100;675;"41_execution_dim_100_empty_0.12_"
7511;100;0.12;100;1203;"42_execution_dim_100_empty_0.12_"
6010;100;0.12;100;2670;"43_execution_dim_100_empty_0.12_"
7211;100;0.12;100;1486;"44_execution_dim_100_empty_0.12_"
7358;100;0.12;100;1412;"45_execution_dim_100_empty_0.12_"
7421;100;0.12;100;1274;"46_execution_dim_100_empty_0.12_"
8803;100;0.12;100;31;"47_execution_dim_100_empty_0.12_"
8086;100;0.12;100;646;"48_execution_dim_100_empty_0.12_"
8606;100;0.12;100;158;"49_execution_dim_100_empty_0.12_"
6948;100;0.12;100;1791;"50_execution_dim_100_empty_0.12_"
6829;100;0.14;100;1677;"1_execution_dim_100_empty_0.14_"
6568;100;0.14;100;1993;"2_execution_dim_100_empty_0.14_"
5589;100;0.14;100;2927;"3_execution_dim_100_empty_0.14_"
6129;100;0.14;100;2410;"4_execution_dim_100_empty_0.14_"
7470;100;0.14;100;1113;"5_execution_dim_100_empty_0.14_"
8359;100;0.14;100;191;"6_execution_dim_100_empty_0.14_"
6988;100;0.14;100;1514;"7_execution_dim_100_empty_0.14_"
5875;100;0.14;100;2668;"8_execution_dim_100_empty_0.14_"
7981;100;0.14;100;606;"9_execution_dim_100_empty_0.14_"
7938;100;0.14;100;610;"10_execution_dim_100_empty_0.14_"
5930;100;0.14;100;2543;"11_execution_dim_100_empty_0.14_"
6172;100;0.14;100;2374;"12_execution_dim_100_empty_0.14_"
7013;100;0.14;100;1589;"13_execution_dim_100_empty_0.14_"
8379;100;0.14;100;158;"14_execution_dim_100_empty_0.14_"
8057;100;0.14;100;447;"15_execution_dim_100_empty_0.14_"
5838;100;0.14;100;2725;"16_execution_dim_100_empty_0.14_"
7995;100;0.14;100;563;"17_execution_dim_100_empty_0.14_"
8129;100;0.14;100;431;"18_execution_dim_100_empty_0.14_"
6026;100;0.14;100;2527;"19_execution_dim_100_empty_0.14_"
8213;100;0.14;100;440;"20_execution_dim_100_empty_0.14_"
7658;100;0.14;100;889;"21_execution_dim_100_empty_0.14_"
7247;100;0.14;100;1342;"22_execution_dim_100_empty_0.14_"
6549;100;0.14;100;1985;"23_execution_dim_100_empty_0.14_"
6211;100;0.14;100;2282;"24_execution_dim_100_empty_0.14_"
7546;100;0.14;100;1004;"25_execution_dim_100_empty_0.14_"
6401;100;0.14;100;2107;"26_execution_dim_100_empty_0.14_"
6152;100;0.14;100;2346;"27_execution_dim_100_empty_0.14_"
6628;100;0.14;100;1929;"28_execution_dim_100_empty_0.14_"
7636;100;0.14;100;942;"29_execution_dim_100_empty_0.14_"
8421;100;0.14;100;193;"30_execution_dim_100_empty_0.14_"
6636;100;0.14;100;1888;"31_execution_dim_100_empty_0.14_"
7145;100;0.14;100;1413;"32_execution_dim_100_empty_0.14_"
6727;100;0.14;100;1803;"33_execution_dim_100_empty_0.14_"
7020;100;0.14;100;1519;"34_execution_dim_100_empty_0.14_"
7187;100;0.14;100;1360;"35_execution_dim_100_empty_0.14_"
6993;100;0.14;100;1531;"36_execution_dim_100_empty_0.14_"
7710;100;0.14;100;837;"37_execution_dim_100_empty_0.14_"
7369;100;0.14;100;1126;"38_execution_dim_100_empty_0.14_"
6922;100;0.14;100;1637;"39_execution_dim_100_empty_0.14_"
6856;100;0.14;100;1623;"40_execution_dim_100_empty_0.14_"
7223;100;0.14;100;1314;"41_execution_dim_100_empty_0.14_"
5936;100;0.14;100;2554;"42_execution_dim_100_empty_0.14_"
5089;100;0.14;100;3370;"43_execution_dim_100_empty_0.14_"
8422;100;0.14;100;154;"44_execution_dim_100_empty_0.14_"
6724;100;0.14;100;1746;"45_execution_dim_100_empty_0.14_"
7611;100;0.14;100;933;"46_execution_dim_100_empty_0.14_"
6554;100;0.14;100;1957;"47_execution_dim_100_empty_0.14_"
7704;100;0.14;100;830;"48_execution_dim_100_empty_0.14_"
5802;100;0.14;100;2665;"49_execution_dim_100_empty_0.14_"
5476;100;0.14;100;2998;"50_execution_dim_100_empty_0.14_"
5201;100;0.16;100;3053;"1_execution_dim_100_empty_0.16_"
8207;100;0.16;100;211;"2_execution_dim_100_empty_0.16_"
6093;100;0.16;100;2220;"3_execution_dim_100_empty_0.16_"
6522;100;0.16;100;1825;"4_execution_dim_100_empty_0.16_"
6825;100;0.16;100;1525;"5_execution_dim_100_empty_0.16_"
6911;100;0.16;100;1412;"6_execution_dim_100_empty_0.16_"
6988;100;0.16;100;1400;"7_execution_dim_100_empty_0.16_"
7917;100;0.16;100;424;"8_execution_dim_100_empty_0.16_"
6880;100;0.16;100;1432;"9_execution_dim_100_empty_0.16_"
5561;100;0.16;100;2747;"10_execution_dim_100_empty_0.16_"
6138;100;0.16;100;2180;"11_execution_dim_100_empty_0.16_"
5824;100;0.16;100;2529;"12_execution_dim_100_empty_0.16_"
7246;100;0.16;100;1098;"13_execution_dim_100_empty_0.16_"
5589;100;0.16;100;2709;"14_execution_dim_100_empty_0.16_"
7034;100;0.16;100;1311;"15_execution_dim_100_empty_0.16_"
